file_name,pesq noisy,h4d5 trained on all,h8d5 trained on all,h12d5 trained on all,h24d5 trained on all,h48d5 trained on all,h4d5 transfer on car,h8d5 transfer on car,h12d5 transfer on car,h24d5 transfer on car,h48d5 transfer on car
SNRdb0_p298_225_100,1.394729733467102,2.87593412399292,2.3182752132415767,2.8385617733001713,2.996304988861084,2.7959938049316406,2.7213611602783203,3.281437873840332,2.785075664520264,2.660057783126831,2.5557386875152592
SNRdb5_p339_212_100,1.7809107303619385,1.7246956825256348,1.9554266929626465,2.3525257110595703,2.7797985076904297,2.433910846710205,3.430753469467163,3.526170253753662,3.3436281681060787,3.5407936573028564,3.542217254638672
SNRdb10_p299_278_100,2.0544118881225586,3.540313720703125,3.2647981643676762,3.586951494216919,3.58182692527771,3.7242023944854736,4.0186448097228995,3.888939380645752,3.927494764328003,3.8929696083068848,3.856346845626831
SNRdb20_p306_358_100,3.8276889324188232,3.6153368949890137,3.5759613513946533,3.4388818740844727,3.835260391235352,3.837016105651856,4.057415962219238,3.997179508209229,3.9143083095550537,3.817869901657105,3.780563592910767
SNRdb0_p335_049_1043,1.1869595050811768,1.6482539176940918,2.1198947429656982,1.715126395225525,2.24428129196167,2.3136765956878658,1.8031466007232664,1.9088699817657468,1.7669706344604492,1.9500527381896973,1.9158552885055544
SNRdb5_p298_056_1043,1.4161447286605835,2.0204322338104252,2.0615971088409424,2.2317452430725098,2.143468379974365,2.342676877975464,2.034684419631958,2.1261429786682133,2.028404712677002,2.1644151210784908,2.25390362739563
SNRdb10_p343_018_1043,1.5706193447113037,2.4061427116394043,2.7400505542755127,2.6268646717071533,2.9469339847564697,2.830163955688477,2.835301637649536,3.0767590999603267,2.908186674118042,2.9738473892211914,2.92254376411438
SNRdb20_p339_213_1043,2.643404245376587,3.149366855621338,3.50166916847229,3.498033046722412,3.8020966053009033,3.917003154754639,3.4940662384033203,3.722309827804565,3.7209258079528813,3.78235387802124,3.831125497817993
SNRdb0_p360_313_1064,1.3330237865447998,1.5192902088165283,1.4280763864517212,1.516082763671875,1.8712358474731443,1.9480116367340088,1.6342225074768066,1.7877035140991209,1.8673806190490725,1.70719575881958,2.0598723888397217
SNRdb5_p339_212_1064,1.1791907548904421,1.3986337184906006,1.4111615419387815,1.5024899244308472,1.5119116306304932,1.6087384223937988,1.4009562730789185,1.6376810073852541,1.920461177825928,2.161853313446045,2.459611415863037
SNRdb10_p343_366_1064,1.3541043996810913,1.9839519262313845,2.0108919143676762,1.9630956649780276,2.0517411231994633,2.481155633926392,2.113802194595337,2.1776723861694336,2.3065922260284424,2.4368538856506348,2.619141101837158
SNRdb20_p246_135_1064,2.7120897769927983,2.9455654621124268,3.159548282623291,3.1382160186767583,3.357234477996826,3.6009416580200195,3.45190691947937,3.4162113666534424,3.2300262451171875,3.6041202545166016,3.744328022003174
SNRdb0_p299_251_1066,1.384906530380249,1.7166485786437988,1.8081007003784182,1.7363277673721311,1.7435157299041748,2.680680274963379,2.42724084854126,2.80103063583374,2.621509790420532,2.962352514266968,3.0393872261047363
SNRdb5_p298_185_1066,2.3694615364074707,3.4965689182281494,3.358849048614502,3.222095012664795,3.3570127487182617,3.315443754196167,3.0582447052001958,3.3572590351104736,3.107435464859009,3.283708095550537,3.3485255241394043
SNRdb10_p298_343_1066,2.3159780502319336,3.2892425060272217,3.331043243408203,3.388458728790283,3.489905834197998,3.5064523220062256,3.15653133392334,3.3053433895111084,3.1489741802215576,3.3982419967651367,3.5675830841064453
SNRdb20_p343_106_1066,3.71468448638916,3.709415435791016,3.593921899795532,3.350013256072998,3.8934500217437744,3.8223721981048575,3.884305477142334,4.072308540344238,3.5611629486083984,3.794602155685425,3.794013977050781
SNRdb0_p299_349_1084,1.247016668319702,1.8146955966949463,1.9193394184112549,2.1696596145629883,2.16579818725586,2.398927927017212,1.7373695373535156,1.703036904335022,1.878697633743286,1.935529947280884,2.0234823226928706
SNRdb5_p306_119_1084,1.2362115383148191,1.6567330360412598,2.0828075408935547,1.879965543746948,1.908205270767212,2.162638664245605,1.7177433967590332,1.6989967823028564,1.7320172786712646,1.8845329284667969,1.80629563331604
SNRdb10_p303_344_1084,1.6506993770599363,2.411322593688965,2.5828266143798833,2.4748966693878174,2.5882747173309326,2.474374771118164,2.40891432762146,2.40575909614563,2.276733636856079,2.0411043167114262,2.3215606212615967
SNRdb20_p281_227_1084,2.9818272590637207,2.753937005996704,2.796925544738769,2.821732759475708,2.54611611366272,2.635395050048828,2.7015221118927,2.906134605407715,2.6427135467529297,2.8044471740722656,2.745575189590454
SNRdb0_p281_449_1092,1.1020544767379759,1.637317180633545,1.4245779514312744,1.682975172996521,1.7476758956909182,2.4377450942993164,2.232120513916016,2.3717989921569824,2.083240509033203,2.3552944660186768,2.549537181854248
SNRdb5_p281_440_1092,1.750754952430725,1.9770888090133667,1.918006896972656,2.0199120044708248,2.0407681465148926,1.9851019382476809,2.2299609184265137,2.2231669425964355,2.1771481037139893,2.0032606124877934,2.00934100151062
SNRdb10_p281_218_1092,2.421714782714844,2.8921523094177246,2.8722362518310547,2.932238340377808,2.958106517791748,2.629128932952881,2.930187702178955,2.87382435798645,3.1689574718475337,3.140122652053833,3.0700719356536865
SNRdb20_p303_018_1092,2.8025145530700684,2.9432806968688965,3.1503748893737797,3.422071933746338,3.265777111053467,3.6817545890808105,3.882600069046021,3.9819819927215576,3.759762525558472,4.0496811866760245,3.842337846755981
SNRdb0_p281_262_1100,1.6116825342178345,2.310272693634033,2.6273159980773926,2.5692269802093506,3.05755352973938,2.948709726333618,2.8006317615509038,3.0033833980560303,2.72393798828125,3.1628758907318115,3.024425983428955
SNRdb5_p306_319_1100,1.7560502290725708,2.7461724281311035,2.6739342212677,2.5645983219146733,3.0103631019592285,2.6477625370025635,2.837775468826294,2.959734916687012,2.6116793155670166,2.844377994537353,2.671507835388184
SNRdb10_p306_199_1100,3.022725343704224,3.572699785232544,3.6137754917144775,3.4704189300537114,3.768327474594116,3.7395808696746826,3.853327989578247,4.003828525543213,3.791104793548584,3.8072991371154794,3.6729521751403813
SNRdb20_p299_147_1100,3.849230289459229,3.523118019104004,3.7613239288330083,3.7663695812225337,3.9496426582336426,4.00808048248291,4.2815494537353525,4.191144943237306,4.107512474060059,4.234950542449951,4.0681891441345215
SNRdb0_p249_244_1150,2.265552759170532,2.7256224155426025,2.986789464950561,2.9527060985565186,3.0666489601135254,3.079725503921509,3.2756471633911133,3.3180277347564697,3.0598576068878174,3.126237392425537,2.9363067150115967
SNRdb5_p281_448_1150,2.352034330368042,2.512341260910034,2.582642078399658,2.6967129707336426,2.6998190879821777,2.782632350921631,2.9482929706573486,2.774113655090332,2.993497133255005,2.9924819469451904,2.9084243774414062
SNRdb10_p335_406_1150,3.1322245597839355,3.573702573776245,3.1005065441131587,3.5908865928649902,3.828036546707153,3.852861642837525,4.115931987762451,4.125746726989746,4.12020206451416,3.9534616470336914,4.046223163604736
SNRdb20_p303_120_1150,3.821747303009033,3.1975209712982178,3.7417397499084473,3.631248235702514,3.672697305679321,3.2393441200256348,4.0826921463012695,3.962294578552246,3.8446743488311768,3.996836185455322,3.428589344024658
SNRdb0_p343_260_1162,1.360882043838501,2.3198282718658447,2.5576212406158447,3.03537654876709,2.47249174118042,3.335702657699585,3.1322727203369136,3.382496833801269,3.1391992568969727,3.393229722976685,3.534636974334717
SNRdb5_p246_224_1162,2.539851427078247,3.3553478717803955,3.401618003845215,3.3546600341796875,3.491013765335083,3.6219286918640137,3.599055528640747,3.832434892654419,3.5634701251983643,3.7970180511474614,3.7640366554260254
SNRdb10_p281_007_1162,3.551970958709717,2.8326187133789062,2.6049299240112305,3.054556131362915,2.813446283340454,2.7146680355072017,3.1797657012939453,3.220122098922729,3.142390251159668,3.206537961959839,3.0156641006469727
SNRdb20_p281_446_1162,3.976475715637207,2.9064638614654537,3.2149469852447514,3.3228111267089844,3.3187143802642822,3.1578600406646733,3.821391105651856,3.837601900100708,3.4289028644561768,3.7480015754699703,3.194856882095337
SNRdb0_p251_212_1164,2.0518937110900883,2.0832948684692383,2.594792604446411,2.7548253536224365,2.520853281021118,3.066749095916748,3.1641342639923096,3.4388182163238525,2.953781843185425,3.5483715534210205,3.3015894889831543
SNRdb5_p281_403_1164,3.1574480533599854,2.528735399246216,2.7390024662017822,2.7118306159973145,2.2977404594421387,2.5330331325531006,2.7703840732574463,3.0739223957061768,3.1326663494110107,2.9452030658721924,2.8046875
SNRdb10_p281_007_1164,3.69956111907959,2.802504777908325,2.444145679473877,3.0896358489990234,3.0129201412200928,2.9901840686798096,3.1427092552185063,3.246934175491333,3.4768567085266118,3.392343282699585,3.080726623535156
SNRdb20_p360_263_1164,4.233476161956787,3.1796157360076904,3.3698427677154537,3.288663625717163,3.185940980911255,3.1168153285980225,3.5901720523834233,3.8124265670776367,3.819952726364136,3.4841554164886475,3.0932314395904537
SNRdb0_p360_161_1171,1.2521231174468994,2.054309129714966,2.326224565505981,1.9899511337280276,2.07342791557312,2.5514516830444336,2.6380560398101807,3.091726541519165,2.742640733718872,3.199501276016236,3.000985145568848
SNRdb5_p298_288_1171,2.234330415725708,3.192224740982056,3.2986881732940674,3.3885161876678467,3.60733962059021,3.645139217376709,3.461866855621338,3.5261154174804688,3.4576811790466313,3.412192344665528,3.453330039978028
SNRdb10_p303_344_1171,2.4129793643951416,3.4148998260498047,3.540714740753174,3.615805387496948,3.8215258121490483,3.6575298309326167,3.8580052852630615,3.989101886749268,3.813898801803589,3.840735912322998,3.8601231575012207
