file_name,pesq noisy,h4d5 trained on all,h8d5 trained on all,h12d5 trained on all,h24d5 trained on all,h48d5 trained on all,h4d5 transfer on city_center,h8d5 transfer on city_center,h12d5 transfer on city_center,h24d5 transfer on city_center,h48d5 transfer on city_center
SNRdb0_p298_225_1012,1.0470441579818726,1.2805300951004028,1.423564910888672,1.3308327198028564,1.4935386180877686,1.50671648979187,1.3175696134567259,1.4816617965698242,1.5704001188278198,1.6859745979309082,1.6975688934326172
SNRdb5_p339_212_1012,1.1970148086547852,1.3672869205474854,1.8424452543258667,1.6351426839828491,1.843089818954468,1.9948341846466064,1.6304986476898191,1.8359692096710205,1.8757462501525881,1.8765523433685305,1.939117431640625
SNRdb10_p299_278_1012,1.3781085014343262,2.475294828414917,2.650612592697144,2.6031551361083984,2.7506027221679688,2.7666492462158203,2.6651082038879395,2.849008798599243,2.8509414196014404,2.869558572769165,3.1455767154693604
SNRdb20_p306_358_1012,2.133920669555664,2.5592315196990967,2.732882261276245,2.581439018249512,2.8031933307647705,2.8237669467926025,2.722679615020752,2.8863892555236816,2.9634900093078613,2.89833927154541,2.971043109893799
SNRdb0_p335_049_1020,1.0615862607955933,1.3865829706192017,1.6664474010467532,1.399811863899231,1.5484262704849243,1.6811649799346924,1.3741559982299805,1.557830572128296,1.6879700422286987,1.6536285877227783,1.6218411922454834
SNRdb5_p298_056_1020,1.1772212982177734,1.3962273597717283,1.676867961883545,1.5768461227416992,1.8313438892364504,1.6911901235580444,1.4435851573944092,1.5703870058059692,1.781247615814209,1.80097496509552,1.893795371055603
SNRdb10_p343_018_1020,1.3563164472579956,2.1250576972961426,2.1494643688201904,2.3228528499603267,2.261458396911621,2.3733742237091064,2.2739005088806152,2.3799803256988525,2.6063578128814697,2.596886157989502,2.5448226928710938
SNRdb20_p339_213_1020,2.664414644241333,2.6127769947052,2.8844726085662837,2.8271563053131104,2.665034532546997,3.137173175811768,2.978256702423096,2.9422318935394287,2.8704545497894287,3.2243597507476807,3.009262800216675
SNRdb0_p360_313_1033,1.1488385200500488,1.2173413038253784,1.2458781003952026,1.2247397899627686,1.3879584074020386,1.5866117477416992,1.4268937110900881,1.389414668083191,1.339807152748108,1.5865161418914795,1.555905818939209
SNRdb5_p339_212_1033,1.303807258605957,1.618797779083252,1.7470452785491943,1.648683786392212,1.8889338970184328,1.91519832611084,1.8187968730926516,1.9689577817916868,2.0525095462799072,1.553539514541626,2.1794376373291016
