file_name,pesq noisy,h4d5 trained on all,h8d5 trained on all,h12d5 trained on all,h24d5 trained on all,h48d5 trained on all,h4d5 transfer on metro_station,h8d5 transfer on metro_station,h12d5 transfer on metro_station,h24d5 transfer on metro_station,h48d5 transfer on metro_station
SNRdb0_p298_225_1065,1.1132558584213257,1.1742496490478516,1.1586624383926392,1.1717815399169922,1.1821753978729248,1.186720609664917,1.141432523727417,1.148627758026123,1.1661198139190674,1.171754002571106,1.1836684942245483
SNRdb5_p339_212_1065,1.0639448165893557,1.1243391036987305,1.1822702884674072,1.2364628314971924,1.3856018781661987,1.3027552366256714,1.134643316268921,1.2565867900848389,1.289193868637085,1.3881484270095823,1.4007457494735718
SNRdb10_p299_278_1065,1.1983424425125122,1.592682123184204,2.0245046615600586,1.9128022193908687,2.1351366043090816,2.186716079711914,1.7093820571899414,2.1093881130218506,1.9254770278930664,2.08371901512146,2.1182310581207275
SNRdb20_p306_358_1065,2.1712119579315186,2.427595853805542,2.736493825912476,2.6395983695983887,2.887850522994995,2.7327330112457275,2.507216215133667,2.7703535556793213,2.8322670459747314,2.770537137985229,2.9029459953308105
SNRdb0_p335_049_1067,1.1636418104171753,1.646136999130249,1.8447179794311523,1.7266453504562378,1.9218586683273315,2.207232713699341,1.7438666820526123,2.055529832839966,2.0029370784759517,2.02090072631836,2.203134536743164
SNRdb5_p298_056_1067,1.4335250854492188,1.9758263826370241,2.175033569335937,2.202666044235229,2.4044103622436523,2.2085418701171875,2.219142436981201,2.2150018215179443,2.4734249114990234,2.4954259395599365,2.4172682762146
SNRdb10_p343_018_1067,1.4091225862503052,2.1345326900482178,2.1590020656585693,2.3894519805908203,2.2507638931274414,2.3245525360107417,2.2433702945709233,2.2657787799835205,2.71606707572937,2.5213091373443604,2.441991806030273
SNRdb20_p339_213_1067,2.8021678924560547,3.132270812988281,2.944103717803955,3.070033311843872,3.4002552032470703,3.534505605697632,3.014329671859741,2.968657255172729,3.298872232437134,3.5504021644592285,3.6529264450073238
SNRdb0_p360_313_1075,1.117971420288086,1.2657586336135864,1.1847548484802246,1.2760876417160034,1.261757493019104,1.2258284091949463,1.2079726457595823,1.2725783586502075,1.280488133430481,1.3977388143539429,1.4079149961471558
SNRdb5_p339_212_1075,1.0961660146713257,1.2906146049499512,1.4149458408355713,1.3794463872909546,1.6092480421066284,1.5559011697769165,1.4111841917037964,1.5533678531646729,1.5081493854522705,1.649829387664795,1.5888429880142212
SNRdb10_p343_366_1075,1.1206796169281006,1.5449366569519043,1.5338726043701172,1.380112886428833,1.749382495880127,1.8744378089904783,1.648608684539795,1.5594629049301147,1.8959054946899412,1.987324953079224,1.741152048110962
SNRdb20_p246_135_1075,1.8173199892044067,2.2338643074035645,2.070363521575928,2.223226308822632,2.624295473098755,2.7329275608062744,2.208996295928955,2.4919605255126958,2.1168227195739746,2.6586017608642583,2.6796836853027344
SNRdb0_p299_251_1077,1.0794143676757812,1.3272806406021118,1.3852492570877075,1.3115828037261963,1.4422776699066162,1.6265935897827148,1.1234147548675537,1.4009203910827637,1.3693243265151978,1.1678798198699951,1.555610179901123
SNRdb5_p298_185_1077,1.3390485048294067,1.7209171056747437,1.8343064785003664,1.802062511444092,1.846526861190796,1.8935482501983645,1.5593476295471191,1.7367923259735107,1.8345201015472408,2.148266315460205,1.905038833618164
SNRdb10_p298_343_1077,1.5064098834991455,1.6934179067611694,1.8801350593566892,1.7890806198120115,1.9722903966903689,2.2045178413391118,1.6711523532867432,1.8438289165496824,2.0651311874389653,1.8450331687927248,2.23691725730896
SNRdb20_p343_106_1077,2.0050048828125,2.346489429473877,2.567871332168579,2.421381950378418,2.732374668121338,2.7681772708892822,2.4801957607269287,2.5778062343597408,2.8342101573944087,1.9527056217193604,2.7329835891723637
SNRdb0_p299_349_1098,1.0702930688858032,1.3141350746154783,1.4307860136032104,1.4617213010787964,1.6445419788360596,1.847940683364868,1.4269697666168213,1.4372955560684204,1.5285018682479858,1.5307927131652832,1.7348556518554688
SNRdb5_p306_119_1098,1.0636970996856692,1.2726505994796753,1.4154809713363647,1.3164427280426023,1.5116219520568848,1.5155006647109983,1.3590877056121826,1.4041051864624023,1.452027440071106,1.6025333404541016,1.5312962532043457
SNRdb10_p303_344_1098,1.2774577140808103,1.7460111379623413,2.0134530067443848,1.8508751392364504,2.050952672958374,1.858355164527893,1.7061903476715088,1.7624680995941162,2.0103437900543213,2.2115752696990967,1.7720413208007812
SNRdb20_p281_227_1098,2.272704839706421,2.210237979888916,2.200857639312744,2.4742555618286133,2.326512336730957,2.1744532585144043,2.314045190811157,2.4041106700897217,2.6016640663146973,2.4490439891815186,2.4710118770599365
SNRdb0_p281_449_1101,1.0769921541213991,1.1166279315948486,1.1348450183868408,1.12552809715271,1.123387575149536,1.314311981201172,1.1434459686279297,1.1354916095733645,1.1828666925430298,1.3176347017288208,1.3417537212371826
SNRdb5_p281_440_1101,1.229102611541748,1.2313048839569092,1.2820522785186768,1.2964681386947632,1.3991572856903076,1.4530036449432373,1.3476166725158691,1.3483028411865234,1.4486384391784668,1.4065163135528564,1.3823091983795166
