file_name,pesq noisy,h4d5 trained on all,h8d5 trained on all,h12d5 trained on all,h24d5 trained on all,h48d5 trained on all,h4d5 transfer on tram,h8d5 transfer on tram,h12d5 transfer on tram,h24d5 transfer on tram,h48d5 transfer on tram
SNRdb0_p298_225_1010,1.1447306871414185,1.8658838272094729,1.6738524436950684,1.7157955169677734,1.9313559532165527,2.031501054763794,1.5912353992462158,1.5521833896636963,1.7708754539489746,1.6639604568481443,1.7474617958068848
SNRdb5_p339_212_1010,1.3635624647140503,1.5631308555603027,2.0740315914154053,1.8727333545684812,2.1083838939666752,1.9942905902862549,1.961148023605347,2.2508835792541504,1.8676177263259888,2.31081771850586,1.807406306266785
SNRdb10_p299_278_1010,1.633819580078125,2.965686798095703,3.117899179458618,3.2550263404846187,3.231411457061768,3.2553682327270512,3.1143987178802486,3.147647857666016,3.1857237815856934,3.038790464401245,3.434325218200684
SNRdb20_p306_358_1010,3.0843415260314937,3.175306558609009,3.1584661006927486,3.057915449142456,3.3270766735076904,3.252112627029419,3.050681829452514,3.175220012664795,3.12192964553833,3.219276666641236,2.9892361164093018
SNRdb0_p335_049_1018,1.0919632911682131,1.2452298402786257,1.366376876831055,1.3507875204086304,1.4676430225372314,1.5224761962890625,1.3060885667800903,1.3023464679718018,1.32624614238739,1.4307894706726074,1.4957214593887331
SNRdb5_p298_056_1018,1.279422163963318,1.5314133167266846,1.7271623611450195,1.6476180553436282,1.7702637910842896,1.858949422836304,1.5195572376251218,1.6380212306976318,1.7972874641418457,1.8339316844940183,2.024280309677124
SNRdb10_p343_018_1018,1.3136560916900637,1.9611680507659912,1.9346027374267576,1.911294937133789,2.0707411766052246,1.960387706756592,1.9794992208480835,2.052532434463501,2.1250348091125493,2.0824310779571533,2.1836366653442383
SNRdb20_p339_213_1018,2.34912371635437,2.770081758499145,2.5598180294036865,2.8012444972991943,2.7545437812805176,3.1617910861968994,2.564494132995605,2.943233728408813,3.240553855895996,3.2072107791900635,3.0651841163635254
SNRdb0_p360_313_1059,1.1733399629592896,1.218136429786682,1.2505615949630735,1.1613435745239258,1.2633142471313477,1.2894855737686155,1.1919519901275637,1.2980413436889648,1.176243543624878,1.30882728099823,1.3354060649871826
SNRdb5_p339_212_1059,1.1447243690490725,1.515526533126831,1.5752832889556885,1.6135623455047607,1.5914688110351562,1.6996890306472778,1.349217653274536,1.5446163415908811,1.4110376834869385,1.5102319717407229,1.6284034252166748
SNRdb10_p343_366_1059,1.218706130981445,1.816988587379456,1.7232910394668581,1.6451531648635864,2.1277513504028316,2.263115406036377,1.750538349151611,2.0949513912200928,2.1008193492889404,2.013725757598877,2.2135579586029053
SNRdb20_p246_135_1059,1.8393011093139648,2.240192651748657,2.2225706577301025,2.290029525756836,2.55178165435791,2.6377670764923096,2.367475986480713,2.5182135105133057,2.29086971282959,2.5890204906463623,2.668219804763794
SNRdb0_p299_251_1061,1.5445520877838137,2.925655603408813,2.774423837661743,2.79070258140564,1.9697613716125488,3.14851975440979,3.0485625267028813,2.610429048538208,3.1165201663970947,2.368878126144409,2.3045339584350586
SNRdb5_p298_185_1061,1.8010683059692385,3.0425424575805664,3.0743393898010254,3.022552490234375,3.1132326126098637,3.207818031311035,3.1972496509552,3.2554657459259038,3.479137420654297,3.1915819644927983,3.196155071258545
SNRdb10_p298_343_1061,2.493812561035156,3.1868417263031006,3.1089344024658203,3.190785646438598,3.4629769325256348,3.47853946685791,3.2539958953857417,3.3270387649536133,3.1398041248321533,3.24927020072937,3.1894545555114746
SNRdb20_p343_106_1061,1.652138352394104,3.501255989074707,3.3959105014801025,3.222230672836304,3.66086483001709,3.615128993988037,3.4013369083404537,3.66148853302002,3.5526120662689213,3.6331250667572017,3.624827146530152
SNRdb0_p299_349_1068,1.1764860153198242,1.6330609321594238,1.967671275138855,1.8392691612243648,2.146465539932251,2.585785150527954,2.104818105697632,2.3016483783721924,2.3329145908355717,2.336298942565918,2.8574619293212886
SNRdb5_p306_119_1068,1.2813299894332886,2.178398609161377,2.147701978683472,2.0608296394348145,2.2610151767730717,2.70393705368042,2.4303252696990967,2.654338121414185,2.5742816925048833,2.515154838562012,2.806485652923584
SNRdb10_p303_344_1068,1.4190596342086792,2.372584581375122,2.900853395462036,2.464447021484375,2.828366041183472,2.9785997867584233,2.8356051445007324,3.293348550796509,3.084925889968872,2.945836305618286,3.168566465377808
SNRdb20_p281_227_1068,3.4490790367126465,2.952538251876831,2.8145787715911865,3.0114998817443848,3.1107823848724365,2.7486867904663086,3.423151731491089,3.5096888542175293,3.176051378250122,3.5104100704193115,2.6999380588531494
SNRdb0_p281_449_1071,1.1812996864318848,1.1582633256912231,1.1414344310760498,1.124121069908142,1.1660927534103394,1.3816629648208618,1.1849089860916138,1.1397063732147217,1.114587903022766,1.2394509315490725,1.312105655670166
SNRdb5_p281_440_1071,1.3253719806671145,1.2918317317962646,1.3325164318084717,1.2507826089859009,1.3213669061660769,1.4322479963302612,1.2911491394042969,1.3211401700973509,1.3326928615570068,1.3431363105773926,1.4067785739898682
SNRdb10_p281_218_1071,1.6585447788238523,1.8314225673675537,1.653339147567749,1.5964417457580566,1.9539525508880613,2.054750680923462,1.8067729473114011,1.8422232866287231,2.039783239364624,1.815338373184204,2.026804685592652
SNRdb20_p303_018_1071,2.1956942081451416,2.3700859546661377,2.573190927505493,2.681903839111328,2.6063992977142334,2.9641594886779785,2.6965789794921875,3.0479190349578857,2.894619464874268,2.9600675106048584,2.990186929702759
SNRdb0_p281_262_1082,1.283565878868103,2.0508346557617188,2.0006814002990723,1.935309648513794,2.045816421508789,2.0362069606781006,1.8848450183868408,2.184866428375244,2.1398050785064697,2.30712890625,2.025958299636841
SNRdb5_p306_319_1082,1.2599008083343506,1.7633333206176758,1.9189870357513428,2.0780954360961914,2.1937954425811768,1.9685688018798828,2.1623282432556152,2.1071956157684326,1.9988491535186768,2.0456347465515137,1.7379910945892334
SNRdb10_p306_199_1082,1.6577669382095337,2.798736095428467,3.2315897941589355,2.981087446212769,3.2087326049804688,3.270117282867432,3.1301109790802,3.4642314910888667,3.2480902671813965,3.2675046920776367,2.8923652172088623
SNRdb20_p299_147_1082,2.2414896488189697,3.456681251525879,3.525822401046753,3.4972634315490723,3.8250808715820312,3.7268922328948975,3.693772554397583,3.820883512496948,3.830890655517578,3.618319749832153,3.175621509552002
SNRdb0_p249_244_1085,1.0497125387191772,1.1341514587402344,1.1738115549087524,1.1758596897125244,1.1930398941040041,1.2347992658615112,1.1564078330993652,1.21110737323761,1.2170010805130005,1.1258666515350342,1.2886450290679932
